Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
SEA184,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA185,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA186,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA187,SEA,Sea Legs,2,3,6,3,,,,"Generic, Action, Attack",,,,,,,"When this is discarded, create a Goldkiss Rum token.",Generic Action - Attack,,,,No,,M,,,Carlos Cruchaga,,,SEA187,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA187.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA188,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA189,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA189,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA189.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA190,SEA,Diamond Amulet,3,0,,,,,,"Generic, Action, Item","Legendary, Watery Grave",Instant,,,,,"**Instant** - Destroy this: gain 1 action point.

**Legend of the Watery Grave**",Generic Action - Item,,,,No,,M,,,Mario Wibisono,,,SEA190,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA190.png,,,V,C,FA,Mario Wibisono,,,SEA190,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA190_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA191,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA192,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA193,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA194,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA195,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA196,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA197,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA198,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA199,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA200,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA201,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA202,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA203,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA204,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA205,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA206,SEA,Flying High,1,0,,2,,,,"Generic, Action",Go again,,,Go again,,,"Your next attack this turn gets **go again**. If it's red, it gets +1{p}.

**Go again**",Generic Action,,,,No,,R,,,SanSan,,,SEA206,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA206.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA207,SEA,Flying High,2,0,,2,,,,"Generic, Action",Go again,,,Go again,,,"Your next attack this turn gets **go again**. If it's yellow, it gets +1{p}.

**Go again**",Generic Action,,,,No,,R,,,SanSan,,,SEA207,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA207.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA208,SEA,Flying High,3,0,,2,,,,"Generic, Action",Go again,,,Go again,,,"Your next attack this turn gets **go again**. If it's blue, it gets +1{p}.

**Go again**",Generic Action,,,,No,,R,,,SanSan,,,SEA208,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA208.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA209,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA210,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA211,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA212,SEA,Fiddler's Green,1,,,1,,,,"Generic, Block",,,,,,,"When this is put into your graveyard from anywhere, gain 3{h}.",Generic Block,,,,No,,R,,,Ramza Ardyputra,,,SEA212,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA212.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA213,SEA,Fiddler's Green,2,,,1,,,,"Generic, Block",,,,,,,"When this is put into your graveyard from anywhere, gain 2{h}.",Generic Block,,,,No,,R,,,Ramza Ardyputra,,,SEA213,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA213.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA214,SEA,Fiddler's Green,3,,,1,,,,"Generic, Block",,,,,,,"When this is put into your graveyard from anywhere, gain 1{h}.",Generic Block,,,,No,,R,,,Ramza Ardyputra,,,SEA214,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA214.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA215,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA216,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA217,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA218,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA219,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA220,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA221,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA222,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA223,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA224,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA225,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA226,SEA,Sirens of Safe Harbor,1,2,6,2,,,,"Generic, Action, Attack",,,,,,,"When this is put into your graveyard from anywhere, gain 1{h}.",Generic Action - Attack,,,,,,C,,,Yiian Kho,,,SEA226,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA226.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA227,SEA,Sirens of Safe Harbor,2,2,5,2,,,,"Generic, Action, Attack",,,,,,,"When this is put into your graveyard from anywhere, gain 1{h}.",Generic Action - Attack,,,,,,C,,,Yiian Kho,,,SEA227,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA227.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA228,SEA,Sirens of Safe Harbor,3,2,4,2,,,,"Generic, Action, Attack",,,,,,,"When this is put into your graveyard from anywhere, gain 1{h}.",Generic Action - Attack,,,,,,C,,,Yiian Kho,,,SEA228,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA228.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA229,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA230,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA231,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA232,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA233,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA234,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA235,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA236,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA237,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA238,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA239,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA240,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA241,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA242,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA243,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA244,SEA,Gold,,,,,,,,,,,,,,,,,,,,,,B,S,,Stormy Elia Fanggidae,,,SEA244,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA244.webp,,,V,C,FA,Stormy Elia Fanggidae,,,SEA244,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA244-TP.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA245,SEA,Goldkiss Rum,,,,,,,,"Generic, Token, Item",,Instant,,Go again,,,"**Instant** - {t} your hero, destroy this: Your next action this turn gets **go again**. Your hero can't {u} this turn unless they're a Pirate.",Generic Token - Item,,,,,,B,,,Mario Wibisono,,,SEA245,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA245.png,,,V,C,FA,Mario Wibisono,,,SEA245,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA245_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA246,SEA,Cracked Bauble,2,,,,,,,,,,,,,,,,,,,,,B,,,Sam Yang,,,SEA246,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA246.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA247, FAB340","SEA, FAB",Treasure Island,,,,,,,,"High Seas, Macro, Landmark",,,,,,,"The first time a hero is attacked each turn, put a gold counter on this.

Whenever you or an ally you control deals damage to an opposing hero, you remove that many gold counters from this, then create Gold tokens equal to the number of counters removed this way.",High Seas Macro - Landmark,,,,,,B,S,,Jessada Sutthi,,,SEA247,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA247.webp,,,P,C,FA,Jessada Sutthi,,,FAB340,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB340-CF.webp,,,P,C,FA,Jessada Sutthi,,,FAB340,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB340-CF_BACK.webp,,,,,,,,,,,,,,,,,,,,,
SEA248,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA249,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA250,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA251,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA252,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA253,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA254,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA255,SEA,Burn Bare,,3,,3,,,6,"Wizard, Action",,,,,,Phantasm,"Deal 6 arcane damage to any target.

**Instant** - Discard this: Destroy target card with phantasm that is attacking you.",Wizard Action,,,,No,,M,,,Rio Sabda,Yes,,SEA255,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA255.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA256,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA257,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA258,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA259,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA260,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA261,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA262,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA263,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA264,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
