name,identifier,setIdentifiers,sets,rarity,class,talent,type,actionSubType,equipmentType,resourceSubType,tokenSubType,weaponType,handsRequired,pitch,cost,power,defense,specialCost,specialPower,specialDefense,hero,young,health,intellect,keywords,earthFusion,iceFusion,lightningFusion,specialization,bannedFormats,functionalText,typeText,imageUrl
Void Wraith,void-wraith-yellow,MON210,Monarch,Common,NotClassed,Shadow,Action,Attack,,,,,,2,2,4,3,,,,,,,,BloodDebt,,,,,,"You may play Void Wraith from your banished zone.

**Blood Debt** *(At the beginning of your end phase, if Void Wraith is in your banished zone, lose 1{h}.)*",Shadow Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON210.width-450.png
Void Wraith,void-wraith-blue,MON211,Monarch,Common,NotClassed,Shadow,Action,Attack,,,,,,3,2,3,3,,,,,,,,BloodDebt,,,,,,"You may play Void Wraith from your banished zone.

**Blood Debt** *(At the beginning of your end phase, if Void Wraith is in your banished zone, lose 1{h}.)*",Shadow Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON211.width-450.png
Spew Shadow,spew-shadow-red,MON212,Monarch,Common,NotClassed,Shadow,Action,,,,,,,1,2,,2,,,,,,,,GoAgain,,,,,,"Choose an attack action card with cost 2 or less in your banished zone. You may play it this turn. If it attacks a Light hero, it gains +2{p}.

**Go again**",Shadow Action,https://storage.googleapis.com/fabmaster/media/images/MON212.width-450.png
Spew Shadow,spew-shadow-yellow,MON213,Monarch,Common,NotClassed,Shadow,Action,,,,,,,2,2,,2,,,,,,,,GoAgain,,,,,,"Choose an attack action card with cost 1 or less in your banished zone. You may play it this turn. If it attacks a Light hero, it gains +2{p}.

**Go again**",Shadow Action,https://storage.googleapis.com/fabmaster/media/images/MON213.width-450.png
Spew Shadow,spew-shadow-blue,MON214,Monarch,Common,NotClassed,Shadow,Action,,,,,,,3,2,,2,,,,,,,,GoAgain,,,,,,"Choose an attack action card with cost 0 or less in your banished zone. You may play it this turn. If it attacks a Light hero, it gains +2{p}.

**Go again**",Shadow Action,https://storage.googleapis.com/fabmaster/media/images/MON214.width-450.png
Blood Tribute,blood-tribute-red,MON215,Monarch,Common,NotClassed,Shadow,Instant,,,,,,,1,0,,,,,,,,,,Opt,,,,,,"**Opt 3**, then banish the top card of your deck. (Look at the top 3 cards of your deck. You may put them on the top and/or bottom in any order.)",Shadow Instant,https://storage.googleapis.com/fabmaster/media/images/MON215.width-450.png
Blood Tribute,blood-tribute-yellow,MON216,Monarch,Common,NotClassed,Shadow,Instant,,,,,,,2,0,,,,,,,,,,Opt,,,,,,"**Opt 2**, then banish the top card of your deck. (Look at the top 2 cards of your deck. You may put them on the top and/or bottom in any order.)",Shadow Instant,https://storage.googleapis.com/fabmaster/media/images/MON216.width-450.png
Blood Tribute,blood-tribute-blue,MON217,Monarch,Common,NotClassed,Shadow,Instant,,,,,,,3,0,,,,,,,,,,Opt,,,,,,"**Opt 1**, then banish the top card of your deck. (Look at the top card of your deck. You may put it on the bottom.)",Shadow Instant,https://storage.googleapis.com/fabmaster/media/images/MON217.width-450.png
Eclipse Existence,eclipse-existence-blue,"LGS045, MON218","Promos, Monarch",Common,NotClassed,Shadow,Instant,,,,,,,3,0,,,,,,,,,,,,,,,,"Until end of turn, whenever an attack hits a Light hero, you may banish a card from their soul. If they do, they lose 1{h}.

If you have more {h} than an opposing Light hero, you may banish an action card from your graveyard.",Shadow Instant,https://storage.googleapis.com/fabmaster/media/images/LGS045.width-450.png
"Blasmophet, the Soul Harvester",blasmophet-the-soul-harvester,"FAB021, FAB041, MON219","Promos, Promos, Monarch",Token,NotClassed,Shadow,Token,,,,Ally,,,,,6,,,,,,,6,,,,,,,,"*(Allies can be attacked, can't be defended with {d}, and are destroyed when they have taken damage equal to their {h}. At end of turn, heal all damage dealt to Blasmophet.)*

**Once per Turn Action** - 0: **Attack**

Whenever Blasmophet attacks, you may banish a Shadow card from your hand. If you do, the defending hero banishes a card from their soul.",Shadow Token – Demon Ally,https://storage.googleapis.com/fabmaster/media/images/FAB021.width-450.png
"Ursur, the Soul Reaper",ursur-the-soul-reaper,"FAB022, FAB042, MON220","Promos, Promos, Monarch",Token,NotClassed,Shadow,Token,,,,Ally,,,,,6,,,,,,,6,,,,,,,,"*(Allies can be attacked, can't be defended with {d}, and are destroyed when they have taken damage equal to their {h}. At end of turn, heal all damage dealt to Ursur.)*

**Once per Turn Action** - 0: **Attack**

While Ursur is attacking a hero with 1 or more cards in their soul, the attack has **go again.**",Shadow Token – Demon Ally,https://storage.googleapis.com/fabmaster/media/images/FAB022.width-450.png
Ravenous Meataxe,ravenous-meataxe,"LGS047, MON221","Promos, Monarch",Token,Brute,NotTalented,Weapon,,,,,Axe,TwoHanded,,,3,,,,,,,,,,,,,,,"**Once per Turn Action** - {r}{r}: **Attack**

Whenever you attack with Ravenous Meataxe, draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, Ravenous Meataxe gains +2{p} until end of turn.",Brute Weapon – Axe (2H),https://storage.googleapis.com/fabmaster/media/images/LGS047.width-450.png
Tear Limb from Limb,tear-limb-from-limb-blue,MON222,Monarch,Majestic,Brute,NotTalented,Action,,,,,,,3,2,,,,,,,,,,,,,,,,"Draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, the next Brute attack action card you play this turn gains +X{p}, where X is its base {p}.

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/MON222.width-450.png
Pulping,pulping-red,"LGS051, MON223","Promos, Monarch",Rare,Brute,NotTalented,Action,Attack,,,,,,1,2,6,,,,,,,,,"Dominate, GoAgain",,,,,,"Draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, Pulping gains **dominate.** *(The defending hero can't defend Pulping with more than 1 card from their hand.)*

While Pulping is defended by less than 2 non-equipment cards, it has **go again.**",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS051.width-450.png
Pulping,pulping-yellow,"LGS052, MON224","Promos, Monarch",Rare,Brute,NotTalented,Action,Attack,,,,,,2,2,5,,,,,,,,,"Dominate, GoAgain",,,,,,"Draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, Pulping gains **dominate.** *(The defending hero can't defend Pulping with more than 1 card from their hand.)*

While Pulping is defended by less than 2 non-equipment cards, it has **go again.**",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS052.width-450.png
Pulping,pulping-blue,"LGS053, MON225","Promos, Monarch",Rare,Brute,NotTalented,Action,Attack,,,,,,3,2,4,,,,,,,,,"Dominate, GoAgain",,,,,,"Draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, Pulping gains **dominate.** *(The defending hero can't defend Pulping with more than 1 card from their hand.)*

While Pulping is defended by less than 2 non-equipment cards, it has **go again.**",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS053.width-450.png
Smash with Big Tree,smash-with-big-tree-red,MON226,Monarch,Common,Brute,NotTalented,Action,Attack,,,,,,1,2,7,,,,,,,,,,,,,,,,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON226.width-450.png
Smash with Big Tree,smash-with-big-tree-yellow,MON227,Monarch,Common,Brute,NotTalented,Action,Attack,,,,,,2,2,6,,,,,,,,,,,,,,,,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON227.width-450.png
Smash with Big Tree,smash-with-big-tree-blue,MON228,Monarch,Common,Brute,NotTalented,Action,Attack,,,,,,3,2,5,,,,,,,,,,,,,,,,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON228.width-450.png
Dread Scythe,dread-scythe,MON229,Monarch,Majestic,Runeblade,NotTalented,Weapon,,,,,Scythe,TwoHanded,,,3,,,,,,,,,,,,,,,"**Once per Turn Action** - {r}{r}{r}: **Attack**

Whenever you attack with Dread Scythe, deal 1 arcane damage to the defending hero.

A hero dealt damage by Dread Scythe can't gain {h} during their next action phase.",Runeblade Weapon – Scythe (2H),https://storage.googleapis.com/fabmaster/media/images/MON229.width-450.png
Aether Ironweave,aether-ironweave,MON230,Monarch,Common,Runeblade,NotTalented,Equipment,,Chest,,,,,,,,1,,,,,,,,Battleworn,,,,,,"**Action** - Destroy Aether Ironweave: Gain {r}{r}. Activate this ability only if you have played an attack action card and a 'non-attack' action card this turn. **Go again**

**Battleworn** *(If you defend with Aether Ironweave, put a -1{d} counter on it when the combat chain closes.)*",Runeblade Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/MON230.width-450.png
Sonata Arcanix,sonata-arcanix-red,MON231,Monarch,Majestic,Runeblade,NotTalented,Action,,,,,,,1,,,2,XX,,,,,,,GoAgain,,,,,Blitz,"Reveal the top X+3 cards of your deck.

For each 'non-attack' action card revealed this way, you may put an attack action card revealed this way into your hand. Then deal arcane damage to target hero equal to the number of cards put into your hand this way.

Shuffle your deck. Banish Sonata Arcanix.

**Go again**",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/MON231.width-450.png
Vexing Malice,vexing-malice-red,"LGS057, MON232","Promos, Monarch",Rare,Runeblade,NotTalented,Action,Attack,,,,,,1,1,3,3,,,,,,,,,,,,,,Deal 2 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS057.width-450.png
Vexing Malice,vexing-malice-yellow,"LGS058, MON233","Promos, Monarch",Rare,Runeblade,NotTalented,Action,Attack,,,,,,2,1,2,3,,,,,,,,,,,,,,Deal 2 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS058.width-450.png
Vexing Malice,vexing-malice-blue,"LGS059, MON234","Promos, Monarch",Rare,Runeblade,NotTalented,Action,Attack,,,,,,3,1,1,3,,,,,,,,,,,,,,Deal 2 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS059.width-450.png
Arcanic Crackle,arcanic-crackle-red,MON235,Monarch,Common,Runeblade,NotTalented,Action,Attack,,,,,,1,0,3,3,,,,,,,,,,,,,,Deal 1 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON235.width-450.png
Arcanic Crackle,arcanic-crackle-yellow,MON236,Monarch,Common,Runeblade,NotTalented,Action,Attack,,,,,,2,0,2,3,,,,,,,,,,,,,,Deal 1 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON236.width-450.png
Arcanic Crackle,arcanic-crackle-blue,MON237,Monarch,Common,Runeblade,NotTalented,Action,Attack,,,,,,3,0,1,3,,,,,,,,,,,,,,Deal 1 arcane damage to target hero.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON237.width-450.png
Blood Drop Brocade,blood-drop-brocade,MON238,Monarch,Common,Generic,NotTalented,Equipment,,Chest,,,,,,,,0,,,,,,,,,,,,,,"**Instant** - Destroy Blood Drop Brocade: Gain {r}. Activate this ability only if you have dealt or been dealt {p} damage this turn. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/MON238.width-450.png
Stubby Hammerers,stubby-hammerers,MON239,Monarch,Common,Generic,NotTalented,Equipment,,Arms,,,,,,,,0,,,,,,,,,,,,,,"**Action** - Destroy Stubby Hammerers: Attack action cards with 3 or less base power gain +1{p} while attacking this turn. **Go again** *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Arms,https://storage.googleapis.com/fabmaster/media/images/MON239.width-450.png
Time Skippers,time-skippers,MON240,Monarch,Common,Generic,NotTalented,Equipment,,Legs,,,,,,,,0,,,,,,,,,,,,,,"**Action** - {r}{r}{r}, destroy Time Skippers: Gain 2 action points. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Legs,https://storage.googleapis.com/fabmaster/media/images/MON240.width-450.png
Ironhide Helm,ironhide-helm,MON241,Monarch,Common,Generic,NotTalented,Equipment,,Head,,,,,,,,0,,,,,,,,,,,,,,"When you defend with Ironhide Helm, you may pay {r}. If you do, it gains +2{d} and destroy it when the combat chain closes. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Head,https://storage.googleapis.com/fabmaster/media/images/MON241.width-450.png
Ironhide Plate,ironhide-plate,MON242,Monarch,Common,Generic,NotTalented,Equipment,,Chest,,,,,,,,0,,,,,,,,,,,,,,"When you defend with Ironhide Plate, you may pay {r}. If you do, it gains +2{d} and destroy it when the combat chain closes. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/MON242.width-450.png
Ironhide Gauntlet,ironhide-gauntlet,MON243,Monarch,Common,Generic,NotTalented,Equipment,,Arms,,,,,,,,0,,,,,,,,,,,,,,"When you defend with Ironhide Gauntlet, you may pay {r}. If you do, it gains +2{d} and destroy it when the combat chain closes. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Arms,https://storage.googleapis.com/fabmaster/media/images/MON243.width-450.png
Ironhide Legs,ironhide-legs,MON244,Monarch,Common,Generic,NotTalented,Equipment,,Legs,,,,,,,,0,,,,,,,,,,,,,,"When you defend with Ironhide Legs, you may pay {r}. If you do, it gains +2{d} and destroy it when the combat chain closes. *(When an equipment is destroyed, it's put into the graveyard.)*",Generic Equipment – Legs,https://storage.googleapis.com/fabmaster/media/images/MON244.width-450.png
Exude Confidence,exude-confidence-red,MON245,Monarch,Majestic,Generic,NotTalented,Action,Attack,,,,,,1,0,4,2,,,,,,,,,,,,,,"While Exude Confidence isn't defended by a card with equal or greater {p}, the defending hero can't play or activate instants or defense reactions this combat chain.

**Instant** - {r}{r}{r}: Exude Confidence gains +2{p}. Activate this ability only while Exude Confidence is attacking.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON245.width-450.png
Nourishing Emptiness,nourishing-emptiness-red,MON246,Monarch,Majestic,Generic,NotTalented,Action,Attack,,,,,,1,2,6,3,,,,,,,,Dominate,,,,,,"While there are no attack action cards in your graveyard, Nourishing Emptiness has **dominate** and ""If this hits, your hero gains +1{i} until end of turn.""",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON246.width-450.png
Rouse the Ancients,rouse-the-ancients-blue,MON247,Monarch,Majestic,Generic,NotTalented,Action,Attack,,,,,,3,3,0,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Rouse the Ancients, you may reveal any number of attack action cards from your hand with 13 or more total {p}. If you do, Rouse the Ancients gains +7{p} and **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON247.width-450.png
Out Muscle,out-muscle-red,MON248,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,1,3,6,2,,,,,,,,GoAgain,,,,,,"While Out Muscle isn't defended by a card with equal or greater {p}, it has **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON248.width-450.png
Out Muscle,out-muscle-yellow,MON249,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,2,3,5,2,,,,,,,,GoAgain,,,,,,"While Out Muscle isn't defended by a card with equal or greater {p}, it has **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON249.width-450.png
Out Muscle,out-muscle-blue,MON250,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,3,3,4,2,,,,,,,,GoAgain,,,,,,"While Out Muscle isn't defended by a card with equal or greater {p}, it has **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON250.width-450.png
Seek Horizon,seek-horizon-red,MON251,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,1,0,4,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Seek Horizon, you may put a card from your hand on top of your deck. If you do, Seek Horizon gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON251.width-450.png
Seek Horizon,seek-horizon-yellow,MON252,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,2,0,3,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Seek Horizon, you may put a card from your hand on top of your deck. If you do, Seek Horizon gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON252.width-450.png
Seek Horizon,seek-horizon-blue,MON253,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,3,0,2,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Seek Horizon, you may put a card from your hand on top of your deck. If you do, Seek Horizon gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON253.width-450.png
Tremor of íArathael,tremor-of-arathael-red,MON254,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,1,1,4,2,,,,,,,,,,,,,,"If a card has been put into your banished zone this turn, Tremor of íArathael gains +2{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON254.width-450.png
Tremor of íArathael,tremor-of-arathael-yellow,MON255,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,2,1,3,2,,,,,,,,,,,,,,"If a card has been put into your banished zone this turn, Tremor of íArathael gains +2{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON255.width-450.png
Tremor of íArathael,tremor-of-arathael-blue,MON256,Monarch,Rare,Generic,NotTalented,Action,Attack,,,,,,3,1,2,2,,,,,,,,,,,,,,"If a card has been put into your banished zone this turn, Tremor of íArathael gains +2{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON256.width-450.png
Rise Above,rise-above-red,MON257,Monarch,Rare,Generic,NotTalented,DefenseReaction,,,,,,,1,2,,4,,,,,,,,,,,,,,You may put a card from your hand on top of your deck rather than pay Rise Above's {r} cost.,Generic Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/MON257.width-450.png
Rise Above,rise-above-yellow,MON258,Monarch,Rare,Generic,NotTalented,DefenseReaction,,,,,,,2,2,,3,,,,,,,,,,,,,,You may put a card from your hand on top of your deck rather than pay Rise Above's {r} cost.,Generic Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/MON258.width-450.png
Rise Above,rise-above-blue,MON259,Monarch,Rare,Generic,NotTalented,DefenseReaction,,,,,,,3,2,,2,,,,,,,,,,,,,,You may put a card from your hand on top of your deck rather than pay Rise Above's {r} cost.,Generic Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/MON259.width-450.png
Captain's Call,captains-call-red,MON260,Monarch,Rare,Generic,NotTalented,Action,,,,,,,1,0,,2,,,,,,,,GoAgain,,,,,,"The next attack action card with cost 2 or less you play this turn gains +2{p}.

The next attack action card with cost 2 or less you play this turn gains **go again.**

**Go again**",Generic Action,https://storage.googleapis.com/fabmaster/media/images/MON260.width-450.png
Captain's Call,captains-call-yellow,MON261,Monarch,Rare,Generic,NotTalented,Action,,,,,,,2,0,,2,,,,,,,,GoAgain,,,,,,"The next attack action card with cost 1 or less you play this turn gains +2{p}.

The next attack action card with cost 1 or less you play this turn gains **go again.**

**Go again**",Generic Action,https://storage.googleapis.com/fabmaster/media/images/MON261.width-450.png
Captain's Call,captains-call-blue,MON262,Monarch,Rare,Generic,NotTalented,Action,,,,,,,3,0,,2,,,,,,,,GoAgain,,,,,,"The next attack action card with cost 0 or less you play this turn gains +2{p}.

The next attack action card with cost 0 or less you play this turn gains **go again.**

**Go again**",Generic Action,https://storage.googleapis.com/fabmaster/media/images/MON262.width-450.png
Adrenaline Rush,adrenaline-rush-red,MON263,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,2,4,2,,,,,,,,,,,,,,"When you play Adrenaline Rush, if you have less {h} than an opposing hero, it gains +3{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON263.width-450.png
Adrenaline Rush,adrenaline-rush-yellow,MON264,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,2,3,2,,,,,,,,,,,,,,"When you play Adrenaline Rush, if you have less {h} than an opposing hero, it gains +3{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON264.width-450.png
Adrenaline Rush,adrenaline-rush-blue,MON265,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,2,2,2,,,,,,,,,,,,,,"When you play Adrenaline Rush, if you have less {h} than an opposing hero, it gains +3{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON265.width-450.png
Belittle,belittle-red,MON266,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,1,3,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Belittle, you may reveal an attack action card with 3 or less base {p} from your hand. If you do, search your deck for a card named Minnowism, reveal it, put it into your hand, then shuffle your deck.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON266.width-450.png
Belittle,belittle-yellow,MON267,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,1,2,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Belittle, you may reveal an attack action card with 3 or less base {p} from your hand. If you do, search your deck for a card named Minnowism, reveal it, put it into your hand, then shuffle your deck.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON267.width-450.png
Belittle,belittle-blue,MON268,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,1,1,2,,,,,,,,GoAgain,,,,,,"As an additional cost to play Belittle, you may reveal an attack action card with 3 or less base {p} from your hand. If you do, search your deck for a card named Minnowism, reveal it, put it into your hand, then shuffle your deck.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON268.width-450.png
Brandish,brandish-red,MON269,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,1,3,2,,,,,,,,GoAgain,,,,,,"If Brandish hits, your next weapon attack this turn gains +1{p}.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON269.width-450.png
Brandish,brandish-yellow,MON270,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,1,2,2,,,,,,,,GoAgain,,,,,,"If Brandish hits, your next weapon attack this turn gains +1{p}.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON270.width-450.png
Brandish,brandish-blue,MON271,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,1,1,2,,,,,,,,GoAgain,,,,,,"If Brandish hits, your next weapon attack this turn gains +1{p}.

**Go again**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON271.width-450.png
Frontline Scout,frontline-scout-red,MON272,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,0,3,2,,,,,,,,GoAgain,,,,,,"You may look at the defending hero's hand.

If Frontline Scout is played from arsenal, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON272.width-450.png
Frontline Scout,frontline-scout-yellow,MON273,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,0,2,2,,,,,,,,GoAgain,,,,,,"You may look at the defending hero's hand.

If Frontline Scout is played from arsenal, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON273.width-450.png
Frontline Scout,frontline-scout-blue,MON274,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,0,1,2,,,,,,,,GoAgain,,,,,,"You may look at the defending hero's hand.

If Frontline Scout is played from arsenal, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON274.width-450.png
Overload,overload-red,MON275,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,0,3,2,,,,,,,,"Dominate, GoAgain",,,,,,"**Dominate** *(The defending hero can't defend Overload with more than 1 card from their hand.)*

If Overload hits, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON275.width-450.png
Overload,overload-yellow,MON276,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,0,2,2,,,,,,,,"Dominate, GoAgain",,,,,,"**Dominate** *(The defending hero can't defend Overload with more than 1 card from their hand.)*

If Overload hits, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON276.width-450.png
Overload,overload-blue,MON277,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,0,1,2,,,,,,,,"Dominate, GoAgain",,,,,,"**Dominate** *(The defending hero can't defend Overload with more than 1 card from their hand.)*

If Overload hits, it gains **go again.**",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON277.width-450.png
Pound for Pound,pound-for-pound-red,MON278,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,3,6,2,,,,,,,,Dominate,,,,,,"When you play Pound for Pound, if you have less {h} than an opposing hero, it gains **dominate.** *(The defending hero can't defend Pound for Pound with more than 1 card from their hand.)*",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON278.width-450.png
Pound for Pound,pound-for-pound-yellow,MON279,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,3,5,2,,,,,,,,Dominate,,,,,,"When you play Pound for Pound, if you have less {h} than an opposing hero, it gains **dominate.** *(The defending hero can't defend Pound for Pound with more than 1 card from their hand.)*",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON279.width-450.png
Pound for Pound,pound-for-pound-blue,MON280,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,3,4,2,,,,,,,,Dominate,,,,,,"When you play Pound for Pound, if you have less {h} than an opposing hero, it gains **dominate.** *(The defending hero can't defend Pound for Pound with more than 1 card from their hand.)*",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON280.width-450.png
Rally the Rearguard,rally-the-rearguard-red,MON281,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,2,6,2,,,,,,,,,,,,,,**Once per Turn Instant** - Discard a card: Rally the Rearguard gains +3{d}. Activate this ability only while Rally the Rearguard is defending.,Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON281.width-450.png
Rally the Rearguard,rally-the-rearguard-yellow,MON282,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,2,5,2,,,,,,,,,,,,,,**Once per Turn Instant** - Discard a card: Rally the Rearguard gains +3{d}. Activate this ability only while Rally the Rearguard is defending.,Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON282.width-450.png
Rally the Rearguard,rally-the-rearguard-blue,MON283,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,2,4,2,,,,,,,,,,,,,,**Once per Turn Instant** - Discard a card: Rally the Rearguard gains +3{d}. Activate this ability only while Rally the Rearguard is defending.,Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON283.width-450.png
Stony Wootonhog,stony-wootonhog-red,MON284,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,2,6,2,,,,,,,,,,,,,,"While Stony Woottonhog is defended by less than 2 non-equipment cards, it has +1{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON284.width-450.png
Stony Wootonhog,stony-wootonhog-yellow,MON285,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,2,2,5,2,,,,,,,,,,,,,,"While Stony Woottonhog is defended by less than 2 non-equipment cards, it has +1{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON285.width-450.png
Stony Wootonhog,stony-wootonhog-blue,MON286,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,3,2,4,2,,,,,,,,,,,,,,"While Stony Woottonhog is defended by less than 2 non-equipment cards, it has +1{p}.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON286.width-450.png
Surging Militia,surging-militia-red,MON287,Monarch,Common,Generic,NotTalented,Action,Attack,,,,,,1,2,5,2,,,,,,,,,,,,,,Surging Militia has +1{p} for each non-equipment card defending it.,Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/MON287.width-450.png
